"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"lnt	lnt_2	lnt_1","","apolipoprotein N-acyltransferase	apolipoprotein N-acyltransferase	apolipoprotein N-acyltransferase","25	1	1","25	1	1","1	1	1","1	1	1","2097	2096	2030","456	321","1	1","","L_01837___26748","L_00196___59884","L_00198___67399","L_00196___15755","L_00245___78908","L_00200___74922","L_00707___28380","L_00206","L_01282___33405","L_00228___35438","L_00198___39770","L_00195___43524","L_01115___9867","L_00205___71204","L_00203___63703","L_00203___421","L_00233___47440	L_00234___47442","L_01328___92988","L_00200___56090","L_00195___4143","L_00202___82774","L_00202___86678","L_00196___19519","L_01034___13464","L_00771___52920	L_00770___52918"
"group_1111	group_1110	group_1107	group_1108	group_1109","","glutathione-regulated potassium-efflux system protein KefC	glutathione-regulated potassium-efflux system protein KefC	glutathione-regulated potassium-efflux system protein KefC	glutathione-regulated potassium-efflux system protein KefC	glutathione-regulated potassium-efflux system protein KefC","1	1	25	1	1","1	1	25	1	1","1	1	1	1	1","1	1	1	1	1","3047	3049	3052	3046	3048","418	351	313	417","1	1	1	1","","L_00991___24991","L_00787___61101","L_00792___68622","L_00783___16964","L_00891___80233	L_00892___80235","L_00832___76221","L_01319___29653","L_00798","L_00612___32027","L_00882___36779	L_00881___36777","L_00828___41065","L_00867___44906","L_01704___11077","L_00776___72381","L_00773___64878	L_00774___64880","L_00773___1596","L_00879___48763	L_00878___48761","L_00117___90482","L_00822___57368","L_00837___5459","L_00839___84086","L_00857___88025","L_00817___20799","L_01647___14722","L_00082___51511"
"group_1115","","putative membrane protein","25","25","1","1","2583","","","","L_00016___22987","L_01790___63178","L_01782___70671","L_01769___19006","L_01864___82245","L_01783___78189","L_00496___27948","L_01777","L_01940___34762","L_02079___39243","L_01769___43015","L_01805___46852","L_00866___9350","L_01751___74400","L_01740___66881","L_01756___3631","L_02078___51228","L_01081___92476","L_01793___59376","L_01791___7434","L_01827___86133","L_01868___90116","L_01799___22834","L_00783___12943","L_01060___53514"
"group_1116","","hypothetical protein","25","25","1","1","2573","","","","L_00021___22997","L_01785___63168","L_01777___70661","L_01764___18996","L_01859___82235","L_01778___78179","L_00491___27938","L_01772","L_01934___34750","L_02072___39229","L_01764___43005","L_01800___46842","L_00861___9340","L_01746___74390","L_01735___66871","L_01751___3621","L_02071___51214","L_01076___92466","L_01788___59366","L_01785___7422","L_01822___86123","L_01863___90106","L_01794___22824","L_00778___12933","L_01067___53528"
"mraW	mraW_1","","S-adenosyl-methyltransferase MraW	S-adenosyl-methyltransferase MraW","25	1","25	1","1	1","1	1","2460	2441","176","4","","L_00080___23119","L_01728___63049","L_01720___70542","L_01708___18879","L_01798___82110","L_01719___78058","L_00432___27817","L_01714","L_01876___34631","L_01996___39074","L_01709___42891","L_01743___46723","L_00801___9217","L_01690___74274","L_01681___66759","L_01690___3495","L_01998___51065","L_01016___92343","L_01726___59239","L_01728___7305","L_01765___86005","L_01803___89982","L_01738___22708","L_00711___12797","L_01139___53676	L_01138___53674"
"hisD	hisD_2","","histidinol dehydrogenase	histidinol dehydrogenase","25	10","25	10","1	1","1	1","1615	1594","422","1","","L_00108___23177","L_01700___62991","L_01691___70482	L_01692___70484","L_01680___18821","L_01768___82048	L_01769___82050","L_01691___78000","L_01670___30378","L_01683","L_01848___34573","L_01963___39006	L_01964___39008","L_01681___42833","L_01715___46665","L_00773___9159","L_01662___74216","L_01653___66701","L_01661___3435	L_01662___3437","L_01965___50997	L_01966___50999","L_00987___92283","L_01698___59181","L_01699___7245	L_01700___7247","L_01737___85947","L_01773___89920	L_01774___89922","L_01709___22648	L_01710___22650","L_00682___12737	L_00683___12739","L_01172___53744	L_01171___53742"
"pstC	pstC_2","","phosphate ABC transporter permease protein PstC	phosphate ABC transporter permease protein PstC","25	1","25	1","1	1","1	1","1632	1631","415","1","","L_00121___23204","L_01685___62959	L_01686___62961","L_01677___70452","L_01666___18791","L_01754___82018","L_01677___77970","L_00938___28859","L_01670","L_01834___34543","L_01947___38972","L_01668___42806","L_01702___46638","L_00759___9129","L_01648___74186","L_01639___66671","L_01647___3405","L_01950___50965","L_00973___92253","L_01684___59151","L_01686___7218","L_01723___85918","L_01760___89893","L_01696___22621","L_00666___12703","L_01187___53775"
"phoB_1	phoB","","two-component system phosphate regulon response regulator PhoB	two-component system phosphate regulon response regulator PhoB","1	25","1	25","1	1","1	1","1591	1635","345","1","","L_00124___23210","L_01682___62953","L_01674___70446","L_01663___18785","L_01751___82012","L_01674___77964","L_00935___28853","L_01667","L_01831___34537","L_01943___38964	L_01944___38966","L_01665___42800","L_01699___46632","L_00756___9123","L_01645___74180","L_01636___66665","L_01644___3399","L_01947___50959","L_00970___92247","L_01681___59145","L_01683___7212","L_01720___85912","L_01757___89887","L_01693___22615","L_00663___12697","L_01190___53781"
"glmU_1	glmU","","Bifunctional protein GlmU	Bifunctional protein GlmU","1	25","1	25","1	1","1	1","1583	1671","275","1","","L_00172___23308","L_01647___62881","L_01638___70372","L_01628___18713","L_01715___81938","L_01639___77892","L_01440___29904","L_01632","L_01545___33950","L_01900___38875	L_01901___38877","L_01630___42728","L_01664___46560","L_00721___9051","L_01610___74108","L_01601___66593","L_01609___3327","L_01909___50881","L_00935___92175","L_01646___59073","L_01648___7140","L_01685___85840","L_01722___89815","L_01658___22543","L_00627___12623","L_01229___53861"
"group_1139	group_1138","","amino acid ABC transporter permease protein	amino acid ABC transporter permease protein","1	25","1	25","1	1","1	1","1673	1674","457","1","","L_00174___23312","L_01645___62877","L_01636___70368","L_01626___18709","L_01713___81934","L_01637___77888","L_01442___29908","L_01630","L_01547___33954","L_01897___38869	L_01898___38871","L_01628___42724","L_01662___46556","L_00719___9047","L_01608___74104","L_01599___66589","L_01607___3323","L_01907___50877","L_00933___92171","L_01644___59069","L_01646___7136","L_01683___85836","L_01720___89811","L_01656___22539","L_00625___12619","L_01231___53865"
"group_1140","","hypothetical protein","25","25","1","1","1681","","","","L_00180___23326","L_01639___62863","L_01630___70355","L_01620___18695","L_01707___81920","L_01631___77874","L_01449___29924","L_01624","L_01553___33968","L_01891___38855","L_01622___42710","L_01656___46542","L_00713___9033","L_01602___74090","L_01593___66575","L_01601___3309","L_01901___50863","L_00926___92155","L_01638___59055","L_01640___7122","L_01677___85822","L_01714___89797","L_01650___22525","L_00619___12605","L_01237___53879"
"group_1143","","flagellar motor protein MotS","25","25","1","1","1698","","","","L_00191___23349","L_01627___62838","L_01617___70328","L_01608___18670","L_01695___81895","L_01619___77849","L_01461___29949","L_01613","L_01565___33993","L_01877___38826","L_01611___42687","L_01645___46519","L_00701___9008","L_01591___74067","L_01581___66550","L_01590___3286","L_01887___50834","L_00914___92130","L_01626___59030","L_01628___7097","L_01665___85797","L_01702___89772","L_01638___22500","L_00606___12578","L_01253___53912"
"group_1144","","rhodanese-like domain protein","25","25","1","1","1708","","","","L_00201___23371","L_01617___62815","L_01607___70305","L_01598___18647","L_01685___81872","L_01609___77826","L_01471___29971","L_01603","L_01575___34015","L_01867___38803","L_01601___42664","L_01635___46496","L_00691___8985","L_01582___74046","L_01571___66527","L_01580___3263","L_01877___50811","L_00904___92107","L_01616___59007","L_01618___7074","L_01655___85774","L_01692___89750","L_01628___22477","L_00596___12555","L_01263___53934"
"group_1153","","KWG Leptospira family protein","25","25","1","1","1871","","","","L_00328___23630","L_01502___62580","L_01491___70068","L_01483___18412","L_01556___81610","L_01482___77568","L_01599___30232","L_01489","L_01704___34278","L_01745___38556","L_01487___42431","L_01509___46239","L_00575___8748","L_01466___73809","L_01455___66290","L_01463___3024","L_01733___50520","L_00777___91849","L_01486___58743","L_01503___6839","L_01530___85519","L_01562___89485","L_01502___22220","L_00479___12316","L_01391___54195"
"group_1159	groES","groES","chaperonin protein Cpn10	chaperonin protein Cpn10","1	25","1	25","1	1","1	1","1038	1877","320","1","","L_00347___23669","L_01481___62538","L_01472___70030","L_01463___18372","L_01549___81596","L_01475___77554","L_01654___30344	L_01655___30346","L_01482","L_01711___34293","L_01724___38514","L_01470___42397","L_01502___46225","L_00567___8732","L_01449___73775","L_01438___66256","L_01446___2990","L_01711___50476","L_00759___91813","L_01468___58707","L_01485___6803","L_01524___85507","L_01556___89473","L_01496___22208","L_00472___12302","L_01411___54235"
"pta_1	pta","","phosphate acetyltransferase	phosphate acetyltransferase","2	25","2	25","1	1","1	1","1893	1894","331","1","","L_00360___23696","L_01468___62511","L_01458___70001	L_01459___70003","L_01450___18345","L_01536___81569","L_01462___77527","L_01802___30654","L_01469","L_01724___34320","L_01709___38483","L_01457___42370","L_01489___46198","L_00553___8703","L_01435___73746	L_01436___73748","L_01425___66229","L_01433___2963","L_01694___50441","L_00746___91786","L_01454___58678","L_01472___6776","L_01511___85480","L_01543___89446","L_01483___22181","L_00459___12275","L_01425___54264"
"uspA2","","ubiquitous surface protein A2","25","25","1","1","3256","","","","L_00424___23825","L_00307___60110","L_00309___67625","L_00307___15981","L_00360___79142","L_00312___75150","L_01025___29038","L_00348","L_01169___33174","L_00353___35693","L_00314___40006","L_00308___43755","L_01228___10097","L_00318___71435","L_00317___63936","L_00317___654","L_00359___47696","L_01442___93220","L_00312___56318","L_00345___4447","L_00319___83013","L_00317___86913","L_00310___19752","L_01146___13692","L_00639___52651"
"group_1171	group_1170","","putative membrane protein	putative membrane protein","1	25","1	25","1	1","1	1","1925	1926","121","1","","L_00384___23745","L_01442___62458","L_01432___69948","L_01426___18296","L_01511___81518","L_01438___77478","L_00520___27997","L_01445","L_01748___34369","L_01678___38420","L_01431___42317	L_01432___42319","L_01464___46147","L_00529___8654","L_01410___73695","L_01401___66180","L_01408___2912","L_01664___50380","L_00721___91735","L_01429___58627","L_01448___6727","L_01486___85429","L_01516___89391","L_01458___22130","L_00432___12220","L_01455___54325"
"pilT_2	pilT","","type IV pilus retraction ATPase PilT	type IV pilus retraction ATPase PilT","1	25","1	25","1	1","1	1","1421	1423","306","1","","L_00430___23838","L_00312___60121","L_00315___67638","L_00312___15992","L_00365___79153","L_00318___75163","L_01030___29049","L_00354","L_01164___33164","L_00358___35704","L_00319___40017","L_00313___43766","L_01233___10108","L_00324___71448","L_00322___63947","L_00323___667","L_00364___47706","L_01447___93231","L_00317___56329","L_00350___4458","L_00324___83024","L_00322___86924","L_00315___19763","L_01151___13703","L_00633___52639	L_00632___52637"
"group_1175	group_1174	group_1176","","radical SAM superfamily protein	radical SAM superfamily protein	radical SAM superfamily protein","1	25	1","1	25	1","1	1	1","1	1	1","1405	1446	1406","442	405","1	1","","L_00451___23880","L_00333___60163","L_00337___67682","L_00334___16036","L_00387___79197","L_00339___75205","L_01052___29093","L_00375","L_01141___33118","L_00383___35754	L_00382___35752","L_00340___40059","L_00334___43808","L_01255___10152","L_00345___71490","L_00343___63989","L_00344___709","L_00389___47756	L_00390___47758","L_01470___93277","L_00338___56371","L_00371___4500","L_00345___83066","L_00344___86968","L_00336___19805","L_01172___13745","L_00608___52589"
"gph_1	gph","","phosphoglycolate phosphatase	phosphoglycolate phosphatase","1	25","1	25","1	1","1	1","1466	1469","434","1","","L_00461___23900","L_00340___60177","L_00344___67696","L_00340___16048","L_00399___79221","L_00352___75231","L_01067___29123","L_00381","L_01135___33106","L_00398___35784","L_00346___40071","L_00344___43828","L_01262___10166","L_00352___71504","L_00350___64003","L_00351___723","L_00401___47780	L_00402___47782","L_01483___93303","L_00351___56397","L_00377___4512","L_00352___83080","L_00353___86986","L_00342___19817","L_01180___13761","L_00598___52569"
"group_1180	group_1179","","two-component system sensor histidine kinase	two-component system sensor histidine kinase","1	25","1	25","1	1","1	1","1387	1494","371","1","","L_00482___23943","L_00361___60221","L_00365___67740","L_00361___16092","L_00421___79267","L_00373___75275","L_00245___27430","L_00402","L_01114___33062","L_00422___35834	L_00421___35832","L_00367___40115","L_00365___43872","L_01283___10209","L_00373___71548","L_00371___64047","L_00372___767","L_00425___47830","L_01504___93347","L_00372___56441","L_00398___4555","L_00373___83123","L_00374___87029","L_00363___19860","L_01201___13804","L_00577___52526"
"group_1181","","electron transfer flavoprotein alpha subunit-like protein","25","25","1","1","1514","","","","L_00495___23969","L_00375___60249","L_00379___67768","L_00374___16118","L_00434___79293","L_00387___75303","L_00230___27400","L_00415","L_01101___33036","L_00437___35864","L_00381___40143","L_00379___43900","L_01296___10235","L_00386___71574","L_00384___64073","L_00385___793","L_00444___47868","L_01517___93373","L_00386___56469","L_00412___4583","L_00388___83153","L_00387___87055","L_00376___19886","L_01215___13832","L_00560___52492"
"purE","","phosphoribosylaminoimidazole carboxylase catalytic subunit","25","25","1","1","1529","","","","L_00507___23994","L_00388___60276","L_00391___67793","L_00386___16143","L_00446___79318","L_00399___75328","L_00218___27375","L_00427","L_01089___33011","L_00451___35893","L_00393___40168","L_00391___43925","L_01308___10260","L_00399___71601","L_00396___64098","L_00397___818","L_00459___47899","L_01529___93398","L_00398___56494","L_00426___4612","L_00400___83178","L_00400___87082","L_00388___19911","L_01229___13861","L_00546___52463"
"group_1183","","TetR family transcriptional regulator","25","25","1","1","1348","","","","L_00556___24093","L_00423___60347","L_00427___67866","L_00421___16214","L_00481___79389","L_00435___75401","L_00182___27302","L_00462","L_01054___32940","L_00491___35974","L_00428___40239","L_00440___44024","L_01343___10331","L_00434___71672","L_00432___64171","L_00432___889","L_00501___47984","L_01564___93469","L_00434___56567","L_00461___4683","L_00438___83255","L_00437___87157","L_00423___19982","L_01265___13934","L_00505___52380"
"metW_1	metW","","methionine biosynthesis protein MetW	methionine biosynthesis protein MetW","1	25","1	25","1	1","1	1","1078	1298","279","1","","L_00596___24179","L_00466___60439","L_00467___67952","L_00461___16300","L_00524___79481","L_00475___75487","L_01260___29524","L_00502","L_01014___32855","L_00538___36074","L_00468___40325","L_00480___44110","L_01384___10419","L_00476___71762","L_00472___64257","L_00472___975","L_00547___48082","L_01605___93557","L_00475___56655","L_00501___4769","L_00479___83343","L_00486___87260","L_00463___20068","L_01306___14022","L_00456___52277	L_00457___52279"
"ampD_1	ampD","","N-acetyl-anhydromuranmyl-L-alanine amidase	N-acetyl-anhydromuranmyl-L-alanine amidase","1	25","1	25","1	1","1	1","1276	1277","203","1","","L_00614___24215","L_00483___60473","L_00484___67986","L_00479___16336","L_00540___79513","L_00491___75519","L_01242___29488	L_01243___29490","L_00519","L_00998___32823","L_00551___36100","L_00484___40357","L_00496___44142","L_01400___10451","L_00489___71788","L_00484___64281","L_00484___999","L_00565___48118","L_01621___93589","L_00493___56691","L_00518___4803","L_00495___83375","L_00502___87292","L_00479___20100","L_01325___14060","L_00436___52237"
"group_1197","","putative nitroreductase","25","25","1","1","1198","","","","L_00658___24306","L_00542___60594","L_00544___68109","L_00537___16455","L_00586___79608","L_00535___75610","L_01197___29395","L_00563","L_00953___32730","L_00621___36243","L_00536___40464","L_00540___44233","L_01454___10562","L_00533___71880","L_00529___64375","L_00529___1093","L_00612___48215","L_01667___93684","L_00540___56788","L_00563___4896","L_00538___83465","L_00549___87390","L_00523___20192","L_01382___14177","L_00372___52106"
"group_1209","","putative gamma-glutamyl aminopeptidase","25","25","1","1","1163","","","","L_00687___24365","L_00571___60653","L_00574___68170","L_00566___16514","L_00616___79670","L_00563___75668","L_00899___28780","L_00591","L_00922___32667","L_00654___36310","L_00564___40521","L_00567___44288","L_01481___10617","L_00561___71937","L_00556___64430","L_00557___1150","L_00645___48282","L_01695___93741","L_00568___56845","L_00592___4955","L_00567___83525","L_00577___87448","L_00550___20248","L_01411___14236","L_00343___52046"
"apt_1	apt","","Adenine phosphoribosyltransferase	adenine phosphoribosyltransferase","1	25","1	25","1	1","1	1","104	1132","347","1","","L_00714___24420","L_00597___60707","L_00599___68222","L_00593___16570","L_00643___79725","L_00589___75721","L_00014___26956","L_00615","L_00896___32614","L_00686___36375","L_00591___40576","L_00594___44343","L_01509___10674","L_00587___71990","L_00582___64483","L_00583___1203","L_00673___48339","L_01721___93794","L_00595___56900","L_00619___5010","L_00594___83580","L_00605___87505","L_00575___20299","L_01440___14295","L_00308___51975	L_00309___51977"
"group_1212","","hypothetical protein","25","25","1","1","188","","","","L_00780___24563","L_00662___60848","L_00664___68363","L_00659___16713","L_00707___79862","L_00652___75857","L_00066___27068","L_00682","L_00829___32470","L_00759___36531","L_00657___40718","L_00656___44478","L_01574___10814","L_00651___72128","L_00647___64623","L_00650___1347","L_00756___48515","L_01785___93932","L_00658___57036","L_00683___5148","L_00665___83733","L_00679___87664","L_00645___20450","L_01508___14441","L_00236___51821"
"nuoE","","NADH-quinone oxidoreductase subunit E","25","25","1","1","190","","","","L_00781___24565","L_00663___60850","L_00665___68365","L_00660___16715","L_00708___79864","L_00653___75859","L_00067___27070","L_00683","L_00828___32468","L_00760___36533","L_00658___40720","L_00657___44480","L_01575___10816","L_00652___72130","L_00648___64625","L_00651___1349","L_00757___48517","L_01786___93934","L_00659___57038","L_00684___5150","L_00666___83735","L_00680___87666","L_00646___20452","L_01509___14443","L_00235___51819"
"group_1214","","modification methylase","25","25","1","1","215","","","","L_00801___24605","L_00683___60890","L_00685___68405","L_00679___16753","L_00729___79906","L_00673___75899","L_00092___27120","L_00702","L_00808___32428","L_00784___36581","L_00677___40758","L_00676___44518","L_01594___10854","L_00671___72168","L_00669___64667","L_00670___1387","L_00782___48567","L_01805___93972","L_00678___57076","L_00705___5192","L_00686___83775","L_00700___87706","L_00666___20492","L_01531___14487","L_00212___51773"
"group_1222","","putative molybdenum-pterin-binding protein","25","25","1","1","247","","","","L_00829___24663","L_00710___60946","L_00713___68463","L_00706___16809","L_00759___79967","L_00701___75957","L_01163___29325","L_00730","L_00781___32372","L_00817___36648","L_00704___40814","L_00705___44578","L_01623___10914","L_00699___72226","L_00695___64721","L_00696___1441","L_00812___48628","L_00002___90250","L_00706___57134","L_00734___5252","L_00715___83835","L_00729___87766","L_00695___20552","L_01563___14553","L_00178___51704"
"tolR","","biopolymer transport protein ExbD/TolR","25","25","1","1","3056","","","","L_00987___24983","L_00783___61093","L_00788___68614","L_00779___16956","L_00887___80225","L_00828___76213","L_01315___29645","L_00794","L_00616___32035","L_00876___36767","L_00824___41057","L_00863___44898","L_01700___11069","L_00772___72373","L_00769___64870","L_00769___1588","L_00874___48753","L_00113___90474","L_00818___57360","L_00833___5451","L_00835___84078","L_00853___88017","L_00813___20791","L_01643___14714","L_00089___51525"
"group_1243	group_1242	group_1241","","ion-like peptidase S16	ion-like peptidase S16	ion-like peptidase S16","1	1	25","1	1	25","1	1	1","1	1	1","3030	3033	3034","152	357","1	1","","L_00999___25007","L_00796___61119","L_00801___68640","L_00792___16982","L_00900___80251","L_00840___76237","L_01327___29669","L_00807","L_00603___32009","L_00890___36795","L_00837___41083","L_00875___44922","L_01713___11095","L_00783___72395","L_00781___64894","L_00781___1612","L_00887___48779","L_00125___90498","L_00830___57384","L_00846___5477","L_00849___84106","L_00868___88047","L_00827___20819","L_01655___14738","L_00071___51489	L_00069___51485	L_00070___51487"
"group_1246","","hypothetical protein","25","25","1","1","3011","","","","L_01015___25040","L_00813___61154","L_00817___68673","L_00808___17015","L_00917___80286","L_00856___76270","L_01687___30414","L_00823","L_00587___31975","L_00908___36832","L_00853___41116","L_00891___44955","L_01730___11130","L_00799___72428","L_00797___64927","L_00797___1645","L_00904___48814","L_00141___90531","L_00846___57417","L_00864___5514","L_00865___84139","L_00885___88082","L_00843___20852","L_01673___14775","L_00050___51445"
"group_128	group_129	group_126	group_127	group_131	group_130","","ACR/RND family transmembrane transporter	ACR/RND family transmembrane transporter	ACR/RND family transmembrane transporter	ACR/RND family transmembrane transporter	ACR/RND family transmembrane transporter	ACR/RND family transmembrane transporter","22	7	25	11	8	11","22	7	25	11	8	11","1	1	1	1	1	1","1	1	1	1	1	1","1998	1997	2238	1996	1994	1999","110	110	354	290	110","2	3	1	1	1","","L_01739___26543	L_01738___26541","L_00095___59673	L_00096___59675	L_00094___59671	L_00093___59669","L_00096___67186	L_00095___67184	L_00094___67182	L_00097___67188","L_00095___15544	L_00094___15542	L_00093___15540	L_00096___15546","L_00142___78694	L_00143___78696	L_00141___78692","L_00099___74712	L_00100___74714	L_00098___74710","L_01706___30454	L_01707___30456	L_01708___30458","L_00106	L_00107	L_00105	L_00104","L_01382___33614	L_01383___33616	L_01384___33618	L_01381___33612","L_00113___35200	L_00114___35202	L_00112___35198	L_00111___35196","L_00097___39560	L_00096___39558	L_00095___39556	L_00098___39562","L_00096___43317	L_00095___43315	L_00094___43313	L_00097___43319","L_01013___9654	L_01012___9652","L_00105___70996	L_00104___70994	L_00103___70992	L_00106___70998","L_00105___63499	L_00104___63497	L_00103___63495	L_00106___63501","L_00105___217	L_00104___215	L_00103___213	L_00106___219","L_00110___47185	L_00109___47183	L_00108___47181","L_01228___92780	L_01229___92782	L_01227___92778","L_00096___55874	L_00097___55876	L_00095___55872","L_00096___3936	L_00095___3934","L_00098___82557	L_00097___82555	L_00096___82553	L_00099___82559","L_00100___86465	L_00099___86463	L_00098___86461	L_00101___86467","L_00097___19312	L_00096___19310	L_00095___19308	L_00098___19314","L_00932___13251	L_00931___13249","L_00892___53169	L_00893___53171"
