Gene	Non-unique_Gene_name	Annotation	No_isolates	No_sequences	Avg_sequences_per_isolate	Genome_Fragment	Order_within_Fragment	Accessory_Fragment	Accessory_Order_with_Fragment	QC	028_A3	033B	033E-replaced	033_A1	042B	042E	042_A1	054_V2	055_V1	067_A5	115_A2	161_A2	408_A1	442B	442E	442_A3	445_A2	447_A2	447_A3	489_A1	530B	530E	530_A2	552_A1	606_A3	cluster_id
glmU_1,glmU		Bifunctional protein GlmU,Bifunctional protein GlmU	1,25	1,25	1,1	1,1	1583,1671	275	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_19
group_1139,group_1138		amino acid ABC transporter permease protein,amino acid ABC transporter permease protein	1,25	1,25	1,1	1,1	1673,1674	457	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_20
group_1140		hypothetical protein	25	25	1	1	1681				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_21
group_1143		flagellar motor protein MotS	25	25	1	1	1698				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_22
group_1144		rhodanese-like domain protein	25	25	1	1	1708				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_23
group_1153		KWG Leptospira family protein	25	25	1	1	1871				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_24
group_1159,groES	groES	chaperonin protein Cpn10,chaperonin protein Cpn10	1,25	1,25	1,1	1,1	1038,1877	320	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_25
pta_1,pta		phosphate acetyltransferase,phosphate acetyltransferase	2,25	2,25	1,1	1,1	1893,1894	331	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_26
uspA2		ubiquitous surface protein A2	25	25	1	1	3256				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_27
group_1171,group_1170		putative membrane protein,putative membrane protein	1,25	1,25	1,1	1,1	1925,1926	121	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_28
pilT_2,pilT		type IV pilus retraction ATPase PilT,type IV pilus retraction ATPase PilT	1,25	1,25	1,1	1,1	1421,1423	306	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_29
group_1175,group_1174,group_1176		radical SAM superfamily protein,radical SAM superfamily protein,radical SAM superfamily protein	1,25,1	1,25,1	1,1,1	1,1,1	1405,1446,1406	442,405	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_30
gph_1,gph		phosphoglycolate phosphatase,phosphoglycolate phosphatase	1,25	1,25	1,1	1,1	1466,1469	434	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_31
group_1180,group_1179		two-component system sensor histidine kinase,two-component system sensor histidine kinase	1,25	1,25	1,1	1,1	1387,1494	371	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_32
group_1181		electron transfer flavoprotein alpha subunit-like protein	25	25	1	1	1514				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_33
purE		phosphoribosylaminoimidazole carboxylase catalytic subunit	25	25	1	1	1529				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_34
group_1183		TetR family transcriptional regulator	25	25	1	1	1348				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_35
metW_1,metW		methionine biosynthesis protein MetW,methionine biosynthesis protein MetW	1,25	1,25	1,1	1,1	1078,1298	279	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_36
ampD_1,ampD		N-acetyl-anhydromuranmyl-L-alanine amidase,N-acetyl-anhydromuranmyl-L-alanine amidase	1,25	1,25	1,1	1,1	1276,1277	203	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_37
group_1197		putative nitroreductase	25	25	1	1	1198				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_38
group_1209		putative gamma-glutamyl aminopeptidase	25	25	1	1	1163				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_39
apt_1,apt		Adenine phosphoribosyltransferase,adenine phosphoribosyltransferase	1,25	1,25	1,1	1,1	104,1132	347	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_40
group_1212		hypothetical protein	25	25	1	1	188				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_41
nuoE		NADH-quinone oxidoreductase subunit E	25	25	1	1	190				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_42
group_1214		modification methylase	25	25	1	1	215				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_43
group_1222		putative molybdenum-pterin-binding protein	25	25	1	1	247				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_44
tolR		biopolymer transport protein ExbD/TolR	25	25	1	1	3056				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_45
group_1243,group_1242,group_1241		ion-like peptidase S16,ion-like peptidase S16,ion-like peptidase S16	1,1,25	1,1,25	1,1,1	1,1,1	3030,3033,3034	152,357	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_46
group_1246		hypothetical protein	25	25	1	1	3011				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_47
group_128,group_129,group_126,group_127,group_131,group_130		ACR/RND family transmembrane transporter,ACR/RND family transmembrane transporter,ACR/RND family transmembrane transporter,ACR/RND family transmembrane transporter,ACR/RND family transmembrane transporter,ACR/RND family transmembrane transporter	22,7,25,11,8,11	22,7,25,11,8,11	1,1,1,1,1,1	1,1,1,1,1,1	1998,1997,2238,1996,1994,1999	110,110,354,290,110	2,3,1,1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_48
group_1260,group_1259		M16-like peptidase,M16-like peptidase	25,1	25,1	1,1	1,1	751,665	449	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_49
group_1278,group_1277		hypothetical protein,hypothetical protein	4,25	4,25	1,1	1,1	327,491	314	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_50
cysU,cysU_1		sulfate ABC transporter permease protein CysU,sulfate ABC transporter permease protein CysU	25,1	25,1	1,1	1,1	484,328	352	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_51
gpmI_1,gpmI_2,gpmI		phosphoglycerate mutase,phosphoglycerate mutase,phosphoglycerate mutase	1,5,25	1,5,25	1,1,1	1,1,1	404,403,406	362,5	1,11		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_52
ppsA_1,ppsA		phosphoenolpyruvate synthase/water dikinase,phosphoenolpyruvate synthase/water dikinase	1,25	1,25	1,1	1,1	54,57	409	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_53
lpxB,lpxB_2		lipid A disaccharide synthase LpxB,lipid A disaccharide synthase LpxB	25,1	25,1	1,1	1,1	3351,3350	296	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_54
ispG_1,ispG		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	1,25	1,25	1,1	1,1	3359,3361	395	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_55
tag		methyladenine glycosylase family protein	25	25	1	1	3373				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_56
lpxX,lpxX_1		decanoyltransferase LpxX,decanoyltransferase LpxX	25,1	25,1	1,1	1,1	3380,33	430	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_57
leuA_2,leuA		2-isopropylmalate synthase,2-isopropylmalate synthase	1,25	1,25	1,1	1,1	3393,3395	141	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_58
truA,truA_1		tRNA pseudouridine synthase A,tRNA pseudouridine synthase A	25,2	25,2	1,1	1,1	3435,3434	387	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_59
group_1328		putative signal-transduction protein containing cAMP-binding and CBS domains	25	25	1	1	3448				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_60
group_1329		rhomboid family protein	25	25	1	1	3462				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_61
cstA_2,cstA		carbon starvation protein CstA,carbon starvation protein CstA	1,25	1,25	1,1	1,1	9,3476	149	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_62
comEC_1,comEC		competence protein ComEC,competence protein ComEC	1,25	1,25	1,1	1,1	3512,3514	429	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_63
kdsA,kdsA_2		3-deoxy-8-phosphooctulonate synthase KdsA,3-deoxy-8-phosphooctulonate synthase KdsA	25,1	25,1	1,1	1,1	3526,3524	447	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_64
clpB_1,clpB		ATP-dependent chaperone ClpB,ATP-dependent chaperone ClpB	1,25	1,25	1,1	1,1	908,959	335	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_65
ompG1b		outer membrane protein G1b	25	25	1	1	980				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_66
folC_1,folC_3,folC		bifunctional protein FolC,bifunctional protein FolC,bifunctional protein FolC	1,1,25	1,1,25	1,1,1	1,1,1	1017,1016,2637	389,337	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_67
tyrS,tyrS_1		tyrosyl-tRNA synthetase,tyrosyl-tRNA synthetase	25,2	25,2	1,1	1,1	2406,1938	433	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_68
group_1364		putative methylitaconate delta2-delta3-isomerase	25	25	1	1	2393				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_69
sun,sun_1		16S rRNA m5C967 SAM-dependent methyltransferase,16S rRNA m5C967 SAM-dependent methyltransferase	25,1	25,1	1,1	1,1	2376,1952	310	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_70
group_1373,group_1372		putative sodium bile acid symporter,putative sodium bile acid symporter	1,25	1,25	1,1	1,1	2292,2293	81	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_71
group_1374		cobalamin synthesis protein P47K	25	25	1	1	2282				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_72
group_1375		truncated secretion protein HlyD	25	25	1	1	2240				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_73
pilB_1,pilB		type IV pilus assembly ATPase PilB,type IV pilus assembly ATPase PilB	1,25	1,25	1,1	1,1	2000,2232	450	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_74
group_1386,group_1384,group_1385		ferredoxin-dependent glutamate synthase,ferredoxin-dependent glutamate synthase,ferredoxin-dependent glutamate synthase	2,25,1	2,25,1	1,1,1	1,1,1	2008,2214,2213	419,356	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_75
group_1393,group_1392		hypothetical protein,hypothetical protein	1,25	1,25	1,1	1,1	2009,2201	69	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_76
group_1395,group_1394,group_1396		(p)ppGpp synthetase I SpoT/RelA,(p)ppGpp synthetase I SpoT/RelA,(p)ppGpp synthetase I SpoT/RelA	1,25,1	1,25,1	1,1,1	1,1,1	2190,2192,2189	272,272	1,2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_77
group_1397,group_1398		cytochrome b561 family protein,cytochrome b561 family protein	25,1	25,1	1,1	1,1	2144,2020	316	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_78
fusA_3,fusA_2,fusA		translation elongation factor G,translation elongation factor G,translation elongation factor G	1,1,25	1,1,25	1,1,1	1,1,1	2038,2081,2082	233,233	2,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_79
group_1410		hypothetical protein	25	25	1	1	2063				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_80
group_1412,group_1413,group_1411		DeoR-like transcriptional regulator,DeoR-like transcriptional regulator,DeoR-like transcriptional regulator	1,1,25	1,1,25	1,1,1	1,1,1	2040,2056,2057	361,286	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_81
murG		undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase MurG	25	25	1	1	3197				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_82
group_1421		hypothetical protein	25	25	1	1	3203				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_83
xerC,xerC_1		tyrosine recombinase subunit XerC,tyrosine recombinase subunit XerC	25,1	25,1	1,1	1,1	1888,1035	378	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_84
group_1444		putative lipoprotein	25	25	1	1	2511				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_85
yidC,yidC_2		protein translocase insertase subunit YidC,protein translocase insertase subunit YidC	25,1	25,1	1,1	1,1	2368,2367	427	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_86
group_1469,group_1468		Na /H  antiporter,Na /H  antiporter	25,1	25,1	1,1	1,1	3053,3051	312	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_87
xerD_2,xerD		tyrosine recombinase XerD,tyrosine recombinase XerD	1,25	1,25	1,1	1,1	2578,2581	128	2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_88
group_1481,group_1482		major facilitator superfamily protein,major facilitator superfamily protein	25,2	25,2	1,1	1,1	2575,2574	128	3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_89
group_1492		calcium/proton antiporter	25	25	1	1	2535				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_90
group_1501,group_1502		hypothetical protein,hypothetical protein	25,1	25,1	1,1	1,1	2478,2473	148	2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_91
group_1503		putative membrane protein	25	25	1	1	2463				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_92
secG		protein translocase subunit SecG	25	25	1	1	2449				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_93
olpA		Opa-like protein A	25	25	1	1	1603				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_94
group_1508,group_1509		hypothetical protein,hypothetical protein	25,1	25,1	1,1	1,1	1621,1620	424	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_95
group_1511,group_1510		Ppx/GppA phosphatase,Ppx/GppA phosphatase	1,25	1,25	1,1	1,1	1638,1637	263	2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_96
group_1513,group_1512		polyamine ABC transporter permease protein,polyamine ABC transporter permease protein	1,25	1,25	1,1	1,1	1590,1643	359	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_97
upp		uracil phosphoribosyltransferase	25	25	1	1	1648				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_98
ligA_2,ligA		NAD-dependent DNA ligase,NAD-dependent DNA ligase	1,25	1,25	1,1	1,1	1588,1650	319	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_99
ftsQ_1,ftsQ		cell division protein FtsQ,cell division protein FtsQ	1,25	1,25	1,1	1,1	3163,3220	20	6		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_100
lepA_1,lepA		GTP-binding protein LepA,GTP-binding protein LepA	1,25	1,25	1,1	1,1	1661,1663	120	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_101
lepB_2,lepB		signal peptidase I,signal peptidase I	1,25	1,25	1,1	1,1	1586,1664	396	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_102
group_1527		hypothetical protein	25	25	1	1	1709				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_103
group_1528,group_1529		nifU-like protein,nifU-like protein	25,1	25,1	1,1	1,1	1714,1576	311	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_104
group_1530		pyridine nucleotide-disulfide oxidoreductase family protein	25	25	1	1	1718				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_105
group_1540,group_1541		RluA family pseudouridine synthase,RluA family pseudouridine synthase	25,1	25,1	1,1	1,1	1740,1738	241	2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_106
group_1542,group_1543		Ppx/GppA phosphatase family protein,Ppx/GppA phosphatase family protein	25,1	25,1	1,1	1,1	1742,1741	241	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_107
group_1550,group_1549		acyltransferase family protein,acyltransferase family protein	1,25	1,25	1,1	1,1	1050,1769	183	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_108
rplO		50S ribosomal protein L15	25	25	1	1	1798				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_109
rpsD_1,rpsD		30S ribosomal protein S4,30S ribosomal protein S4	1,25	1,25	1,1	1,1	1047,1802	330	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_110
fabG_1,fabG		3-oxoacyl-ACP reductase FabG,3-oxoacyl-ACP reductase FabG	1,25	1,25	1,1	1,1	1046,1810	384	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_111
group_1559,group_1560		transmembrane efflux protein,transmembrane efflux protein	25,1	25,1	1,1	1,1	1822,1045	293	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_112
lbpB,group_157		lactoferrin binding protein B LbpB,transferrin binding -like solute binding family protein	25,1	25,1	1,1	1,1	2095,2034	58	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_113
ftsW,ftsW_2		cell cycle family protein FtsW,cell cycle family protein FtsW	25,1	25,1	1,1	1,1	1824,1823	349	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_114
mutY		A/G-specific adenine glycosylase	25	25	1	1	1831				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_115
rapA,rapA_2		RNA polymerase-associated protein RapA,RNA polymerase-associated protein RapA	25,1	25,1	1,1	1,1	1834,1043	386	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_116
comM_2,comM		competence protein comM,competence protein comM	1,25	1,25	1,1	1,1	1042,1835	401	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_117
